"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"206",11,"Pat Bryant",DEN,"WR77","12","3 out of 5 stars","+70"
"207",11,"Devaughn Vele",DEN,"WR78","12","3 out of 5 stars","+198"
"208",11,"Blake Corum",LAR,"RB61","8","3 out of 5 stars","+16"
"209",12,"Juwan Johnson",NO,"TE27","11","3 out of 5 stars","+99"
"210",12,"Will Shipley",PHI,"RB62","9","3 out of 5 stars","+19"
"211",12,"Tyler Lockett",TEN,"WR79","10","4 out of 5 stars","+37"
"212",12,"Brandon Aubrey",DAL,"K1","10","4 out of 5 stars","-107"
"213",12,"Miles Sanders",DAL,"RB63","10","2 out of 5 stars","+31"
"214",12,"Cameron Dicker",LAC,"K2","12","5 out of 5 stars","-94"
"215",12,"Jake Bates",DET,"K3","8","1 out of 5 stars","-81"
"216",12,"Jarquez Hunter",LAR,"RB64","8","3 out of 5 stars","+22"
"217",12,"Dontayvion Wicks",GB,"WR80","5","2 out of 5 stars","+57"
"218",12,"Elic Ayomanor",TEN,"WR81","10","4 out of 5 stars","+93"
"219",12,"Darren Waller",MIA,"TE28","12","3 out of 5 stars","-29"
"220",12,"Kendre Miller",NO,"RB65","11","4 out of 5 stars","+61"
"221",12,"DeAndre Hopkins",BAL,"WR82","7","3 out of 5 stars","-15"
"222",12,"Dont'e Thornton Jr.",LV,"WR83","8","4 out of 5 stars","+28"
"223",12,"Chase McLaughlin",TB,"K4","9","3 out of 5 stars","-78"
"224",12,"Ka'imi Fairbairn",HOU,"K5","6","3 out of 5 stars","-70"
"225",12,"Dallas Cowboys",DAL,"DST15","10","0 out of 5 stars","-38"
"226",12,"Dalton Schultz",HOU,"TE29","6","3 out of 5 stars","+4"
"227",12,"Wil Lutz",DEN,"K6","12","5 out of 5 stars","-42"
"228",12,"Tyler Bass",BUF,"K7","7","2 out of 5 stars","-58"
"229",12,"DJ Giddens",IND,"RB66","11","2 out of 5 stars","+24"
"230",12,"Harrison Butker",KC,"K8","10","3 out of 5 stars","-63"
"231",12,"Matt Gay",WAS,"K9","12","3 out of 5 stars","-23"
"232",12,"Chris Boswell",PIT,"K10","5","1 out of 5 stars","-79"
"233",12,"Elijah Mitchell",KC,"RB67","10","2 out of 5 stars","-1"
"234",12,"Jalen Coker",CAR,"WR84","14","4 out of 5 stars","+91"
"235",12,"Raheem Mostert",LV,"RB68","8","2 out of 5 stars","-12"
"236",12,"Jake Elliott",PHI,"K11","9","2 out of 5 stars","-67"
"237",12,"Russell Wilson",NYG,"QB30","14","1 out of 5 stars","+15"
"238",12,"Diontae Johnson",CLE,"WR85","9","2 out of 5 stars","+74"
"239",12,"Jalen Tolbert",DAL,"WR86","10","2 out of 5 stars","+161"
"240",12,"Ray-Ray McCloud III",ATL,"WR87","5","3 out of 5 stars","+78"
"241",12,"Jaylin Noel",HOU,"WR88","6","4 out of 5 stars","+32"
"242",12,"Ja'Tavion Sanders",CAR,"TE30","14","4 out of 5 stars","+36"
"243",12,"Ty Johnson",BUF,"RB69","7","4 out of 5 stars","+192"
"244",12,"Elijah Arroyo",SEA,"TE31","8","4 out of 5 stars","-18"
"245",12,"Keaton Mitchell",BAL,"RB70","7","4 out of 5 stars","+34"
"246",12,"Jaleel McLaughlin",DEN,"RB71","12","2 out of 5 stars","+39"
"247",12,"Evan McPherson",CIN,"K12","10","1 out of 5 stars","-53"
"248",12,"Tyler Loop",BAL,"K13","7","2 out of 5 stars","-38"
"249",12,"Tutu Atwell",LAR,"WR89","8","3 out of 5 stars","+79"
"250",12,"New York Jets",NYJ,"DST16","9","5 out of 5 stars","-53"
"251",12,"Dyami Brown",JAC,"WR90","8","4 out of 5 stars","+24"
"252",12,"Theo Johnson",NYG,"TE32","14","2 out of 5 stars","+30"
"253",12,"Keenan Allen",FA,"WR91","-","-","+10"
"254",12,"Noah Gray",KC,"TE33","10","3 out of 5 stars","+11"
"255",12,"Devin Neal",NO,"RB72","11","4 out of 5 stars","+25"
"256",13,"Tyler Conklin",LAC,"TE34","12","3 out of 5 stars","+60"
"257",13,"Samaje Perine",CIN,"RB73","10","4 out of 5 stars","+33"
"258",13,"Tahj Brooks",CIN,"RB74","10","4 out of 5 stars","-1"
"259",13,"Brandon McManus",GB,"K14","5","3 out of 5 stars","-18"
"260",13,"Jason Sanders",MIA,"K15","12","2 out of 5 stars","-83"
"261",13,"Brashard Smith",KC,"RB75","10","2 out of 5 stars","+6"
"262",13,"New England Patriots",NE,"DST17","14","4 out of 5 stars","-46"
"263",13,"Tyler Shough",NO,"QB31","11","5 out of 5 stars","+52"
"264",13,"Adonai Mitchell",IND,"WR92","11","4 out of 5 stars","+75"
"265",13,"Younghoe Koo",ATL,"K16","5","4 out of 5 stars","-81"
"266",13,"Tyler Higbee",LAR,"TE35","8","4 out of 5 stars","+4"
"267",13,"Arizona Cardinals",ARI,"DST18","8","4 out of 5 stars","-56"
"268",13,"Tre Tucker",LV,"WR93","8","4 out of 5 stars","+141"
"269",13,"Allen Lazard",NYJ,"WR94","9","4 out of 5 stars","+155"
"270",13,"Jordan Whittington",LAR,"WR95","8","3 out of 5 stars","+89"
"271",13,"Kyle Monangai",CHI,"RB76","5","3 out of 5 stars","-11"
"272",13,"Joshua Karty",LAR,"K17","8","2 out of 5 stars","-23"
"273",13,"Tampa Bay Buccaneers",TB,"DST19","9","3 out of 5 stars","-64"
"274",13,"Jalen Nailor",MIN,"WR96","6","2 out of 5 stars","+88"
"275",13,"Woody Marks",HOU,"RB77","6","2 out of 5 stars","+2"
"276",13,"Sean Tucker",TB,"RB78","9","3 out of 5 stars","+27"
